AAO78252.1	WP_011108665.1	100.000	246	0	0	1	246	1	246	0.0	514	818;171549;226186
AAO78252.1	WP_195662386.1	59.322	236	96	0	6	241	4	239	2.01e-97	295	1871006
AAO78252.1	WP_229532965.1	58.898	236	97	0	6	241	2	237	2.60e-91	280	821
AAO78252.1	EOR97517.1	58.898	236	97	0	6	241	4	239	5.99e-90	276	1235785
AAO78252.1	MCE8942323.1	57.265	234	100	0	6	239	2	235	4.62e-88	271	674529
AAO78252.1	WP_217327177.1	53.942	241	110	1	7	246	3	243	1.23e-84	263	165179
AAO78252.1	WP_166782516.1	42.326	215	122	2	26	238	25	239	5.26e-55	187	469;106649;2587144
AAO78252.1	WP_066308905.1	44.860	214	110	4	28	237	19	228	4.87e-54	184	1642818
AAO78252.1	WP_224431244.1	44.393	214	113	3	28	237	7	218	5.28e-54	184	648794
AAO78252.1	WP_012499220.1	45.116	215	110	4	28	237	19	230	3.31e-53	182	100716;517418
AAO78252.1	WP_242378554.1	45.327	214	111	3	28	237	34	245	1.15e-51	179	73010
AAO78252.1	WP_105712671.1	41.709	199	114	2	42	238	1	199	2.86e-50	174	1827285
AAO78252.1	WP_012909371.1	41.315	213	119	3	28	236	19	229	1.03e-49	173	125;530564
AAO78252.1	WP_121897937.1	44.186	215	113	4	28	237	19	231	3.34e-49	172	1852017
AAO78252.1	WP_125344594.1	39.810	211	123	3	28	236	19	227	3.19e-47	167	321269
AAO78252.1	NCQ92070.1	39.545	220	121	6	28	237	19	236	9.13e-43	155	2685977;2685978;2685981
AAO78252.1	ETW93821.1	35.468	203	131	0	41	243	4	206	1.28e-40	149	1429438
AAO78252.1	PXF48067.1	37.850	214	127	3	28	236	39	251	2.22e-40	150	448386
AAO78252.1	XP_005710530.1	38.942	208	121	3	33	236	39	244	7.00e-39	145	2769
AAO78252.1	WP_002614061.1	33.178	214	139	2	26	236	19	231	9.37e-35	135	41;378806
AAO78252.1	XP_022093498.1	32.743	226	141	3	20	237	31	253	1.99e-34	134	133434
AAO78252.1	XP_038050170.1	34.673	199	125	2	42	238	60	255	1.47e-33	132	46514
AAO78252.1	XP_003730491.2	35.407	209	126	4	32	238	53	254	3.42e-33	131	7668
AAO78252.1	WP_078745630.1	30.144	209	144	2	28	236	25	231	2.91e-28	118	64969
AAO78252.1	XP_021377140.1	28.448	232	159	4	9	239	3	228	1.31e-27	116	6573
AAO78252.1	AIV52139.1	33.514	185	119	2	28	209	24	207	9.43e-27	114	1437000
AAO78252.1	XP_019617645.1	31.963	219	135	4	26	236	52	264	3.80e-26	114	7741
AAO78252.1	CAC5425173.1	31.308	214	141	3	30	238	23	235	4.06e-26	112	42192
AAO78252.1	XP_015760767.1	31.381	239	135	10	9	236	19	239	2.21e-24	108	70779
AAO78252.1	XP_027049566.1	31.746	189	120	4	55	236	37	223	3.35e-24	107	46731
AAO78252.1	XP_033749938.1	30.973	226	140	5	18	235	9	226	4.09e-24	107	6579
AAO78252.1	XP_028657201.2	31.553	206	132	6	34	235	38	238	1.68e-23	105	27687
AAO78252.1	XP_045192634.1	27.350	234	157	5	8	235	4	230	7.78e-23	103	6596
AAO78252.1	XP_039608874.1	29.612	206	136	5	34	235	18	218	5.81e-22	101	55291
AAO78252.1	XP_028412868.1	30.085	236	151	6	4	236	27	251	6.37e-22	102	151771
AAO78252.1	XP_020903754.1	31.720	186	116	3	56	233	61	243	3.17e-21	100	2652724
AAO78252.1	XP_043938478.1	34.146	205	126	6	36	236	38	237	4.75e-21	99.4	7888
AAO78252.1	XP_046871482.1	31.818	198	126	6	42	236	12	203	3.16e-20	97.1	137520
AAO78252.1	XP_015217116.1	30.732	205	129	6	37	236	36	232	1.07e-19	95.9	7918
AAO78252.1	XP_001636921.2	29.583	240	143	9	12	233	15	246	2.20e-18	92.8	45351
AAO78252.1	XP_041096159.1	31.818	198	126	5	42	236	51	242	4.32e-17	89.0	7913
AAO78252.1	VDI43265.1	24.873	197	145	2	42	235	70	266	1.04e-16	88.6	29158
AAO78252.1	XP_018610467.1	27.536	207	146	3	31	236	29	232	1.01e-15	85.5	113540
AAO78252.1	XP_038153220.1	31.156	199	127	6	41	236	55	246	4.38e-15	84.0	77115
AAO78252.1	XP_043984437.1	28.638	213	144	5	27	236	47	254	4.33e-14	81.3	33528
AAO78252.1	KTF92611.1	25.854	205	147	4	34	236	6	207	2.67e-11	72.8	7962
AAO78252.1	NP_001314821.1	26.768	198	135	6	42	235	31	222	4.35e-11	72.4	7955
