AAO78252.1	WP_011108665.1	100.000	246	0	0	1	246	1	246	0.0	514	818;171549;226186
AAO78252.1	2A2M_A	97.551	245	6	0	2	246	14	258	1.38e-177	498	226186
AAO78252.1	WP_195662386.1	59.322	236	96	0	6	241	4	239	2.01e-97	295	1871006
AAO78252.1	WP_073346898.1	59.322	236	96	0	6	241	4	239	4.04e-97	295	1871006
AAO78252.1	MCD7962432.1	56.904	239	103	0	4	242	1	239	5.74e-97	294	2049048
AAO78252.1	WP_195406687.1	59.322	236	96	0	6	241	4	239	6.90e-97	294	1871006
AAO78252.1	WP_259020328.1	58.898	236	97	0	6	241	2	237	1.30e-96	293	818
AAO78252.1	CDA87108.1	59.322	236	96	0	6	241	4	239	1.89e-96	293	1262750
AAO78252.1	WP_227188819.1	58.475	236	98	0	6	241	2	237	6.20e-96	291	818
AAO78252.1	MBV4310778.1	58.475	236	98	0	6	241	4	239	6.63e-96	291	818
AAO78252.1	WP_229532965.1	58.898	236	97	0	6	241	2	237	2.60e-91	280	821
AAO78252.1	WP_229106048.1	59.322	236	96	0	6	241	2	237	2.72e-91	280	821
AAO78252.1	WP_234128484.1	59.322	236	96	0	6	241	2	237	2.75e-91	280	818
AAO78252.1	WP_229508550.1	58.898	236	97	0	6	241	4	239	2.87e-91	280	821
AAO78252.1	MCE9236248.1	59.322	236	96	0	6	241	4	239	2.97e-91	280	818
AAO78252.1	MBO5156346.1	59.483	232	94	0	8	239	5	236	8.90e-91	278	59823
AAO78252.1	WP_134855275.1	58.475	236	98	0	6	241	4	239	9.56e-91	278	821
AAO78252.1	WP_230475135.1	58.898	236	97	0	6	241	2	237	4.76e-90	276	818
AAO78252.1	EOR97517.1	58.898	236	97	0	6	241	4	239	5.99e-90	276	1235785
AAO78252.1	WP_259001765.1	57.692	234	99	0	6	239	5	238	1.00e-88	273	674529
AAO78252.1	MCE8942323.1	57.265	234	100	0	6	239	2	235	4.62e-88	271	674529
AAO78252.1	WP_227034653.1	57.265	234	100	0	6	239	5	238	5.51e-88	271	674529
AAO78252.1	WP_192915911.1	56.780	236	102	0	6	241	5	240	3.68e-87	269	674529
AAO78252.1	KAA5267574.1	56.780	236	102	0	6	241	2	237	3.93e-87	269	674529
AAO78252.1	KAA5274630.1	56.780	236	102	0	6	241	2	237	7.56e-87	268	674529
AAO78252.1	WP_168166613.1	56.780	236	102	0	6	241	5	240	1.15e-86	268	816;674529;1739298
AAO78252.1	WP_217327177.1	53.942	241	110	1	7	246	3	243	1.23e-84	263	165179
AAO78252.1	WP_234367671.1	63.636	143	52	0	99	241	2	144	1.11e-59	196	2086575
AAO78252.1	MBV9108948.1	45.794	214	110	3	28	237	19	230	1.57e-56	191	2026742
AAO78252.1	OJJ13921.1	45.283	212	112	3	28	237	19	228	1.86e-55	188	1905359
AAO78252.1	WP_166782516.1	42.326	215	122	2	26	238	25	239	5.26e-55	187	469;106649;2587144
AAO78252.1	HAA12424.1	44.762	210	112	3	28	235	19	226	2.09e-54	185	2053541
AAO78252.1	MCG8329915.1	44.976	209	109	3	33	237	24	230	2.44e-54	185	2448779
AAO78252.1	WP_198135260.1	44.393	214	113	3	28	237	7	218	2.84e-54	184	648794
AAO78252.1	WP_066308905.1	44.860	214	110	4	28	237	19	228	4.87e-54	184	1642818
AAO78252.1	WP_224431244.1	44.393	214	113	3	28	237	7	218	5.28e-54	184	648794
AAO78252.1	WP_259237353.1	44.393	214	113	3	28	237	19	230	6.39e-54	184	257493;2940592;2940593
AAO78252.1	WP_118501722.1	44.393	214	111	4	28	237	19	228	1.14e-53	183	1714849
AAO78252.1	MBL7710767.1	41.667	216	122	3	24	237	14	227	1.95e-53	182	1869212
AAO78252.1	WP_012499220.1	45.116	215	110	4	28	237	19	230	3.31e-53	182	100716;517418
AAO78252.1	MCG8574180.1	43.396	212	116	3	28	237	19	228	3.49e-53	182	2021391
AAO78252.1	WP_218329357.1	45.327	214	111	3	28	237	19	230	9.28e-52	178	2854794
AAO78252.1	WP_252995038.1	45.327	214	111	3	28	237	34	245	1.08e-51	179	73010
AAO78252.1	WP_242378554.1	45.327	214	111	3	28	237	34	245	1.15e-51	179	73010
AAO78252.1	WP_218389057.1	44.860	214	112	3	28	237	34	245	3.26e-51	177	2854782
AAO78252.1	WP_218291627.1	44.860	214	112	3	28	237	34	245	3.72e-51	177	2854793
